City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
479,Bay Saint Louis,US,79.07,scattered clouds,30.3088,-89.33,The Abode Guest House
481,Rameswaram,IN,80.38,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
486,Latung,PH,83.19,overcast clouds,5.5,120.8833,
489,Monrovia,LR,76.77,moderate rain,6.3005,-10.7969,Sunset Inn
490,Lorengau,PG,84.58,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
491,Jitra,MY,82.29,few clouds,6.2681,100.4217,Hotel Darulaman
493,Mangrol,IN,81.23,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
497,Mount Pleasant,US,75.0,clear sky,32.7941,-79.8626,Best Western Patriots Point
499,Shingu,JP,79.79,clear sky,33.7333,135.9833,Shingu UI Hotel
505,Tahta,EG,75.52,clear sky,26.7693,31.5021,مصطفي عساف
509,San Lazaro,BZ,75.33,clear sky,18.0387,-88.6622,
518,Soyo,AO,75.31,overcast clouds,-6.1349,12.3689,Hotel Mpampa
520,Amravati,IN,80.13,overcast clouds,20.9333,77.75,Hotel Indrapuri
524,Brisbane,AU,84.16,clear sky,-27.4679,153.0281,Royal On The Park Brisbane
527,Miandrivazo,MG,76.96,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
529,Kavaratti,IN,77.68,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
530,Umarga,IN,79.09,few clouds,17.8333,76.6167,Ahmed home
531,Tateyama,JP,83.14,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
534,Townsville,AU,88.68,clear sky,-19.25,146.8,Rydges Southbank Townsville
535,Pedregal,PA,78.24,overcast clouds,8.3667,-82.4333,Hostal La Libertad
539,Coahuayana,MX,78.28,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
541,Minab,IR,81.9,broken clouds,27.1467,57.0801,Bam campground
542,Dong Hoi,VN,85.6,scattered clouds,17.4833,106.6,Nam Long Hotel
543,Takoradi,GH,75.87,overcast clouds,4.8845,-1.7554,Raybow International Hotel
548,Quang Ngai,VN,85.95,overcast clouds,15.1167,108.8,Central Hotel
549,Labuhan,ID,85.55,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
551,Caramay,PH,85.17,broken clouds,10.1815,119.236,Peace and Love Beach Club
555,Edd,ER,86.07,overcast clouds,13.9297,41.6925,
556,Touros,BR,77.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
557,Cockburn Town,TC,83.1,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
559,Bitung,ID,88.65,overcast clouds,1.4451,125.1824,K2 Lembeh
560,Pedernales,DO,80.51,clear sky,18.0384,-71.744,Hotel Costa Marina
561,Naze,JP,81.52,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
562,Ballina,AU,80.78,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
564,Gushikawa,JP,86.0,clear sky,26.3544,127.8686,Kirari Guest House
565,Natal,BR,79.02,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
569,Isangel,VU,75.31,moderate rain,-19.55,169.2667,Tanna Lodge
574,Nara,JP,82.49,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
580,Crixas,BR,81.14,scattered clouds,-14.5489,-49.9692,RISO HOTEL
581,Merauke,ID,82.99,scattered clouds,-8.4667,140.3333,
582,Kerema,PG,82.54,overcast clouds,-7.9631,145.7785,Frena Lodge
584,Tharad,IN,84.16,clear sky,24.3961,71.6267,Shree Nandan Couriyar Service
594,Marsh Harbour,BS,80.98,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
595,Cabedelo,BR,77.67,few clouds,-6.9811,-34.8339,Hotel Pigalle
599,Corralillo,CU,80.2,clear sky,22.9819,-80.5856,Hostal De Pedri
602,Lethem,GY,79.43,overcast clouds,3.3803,-59.7968,Savannah Inn
603,Tiznit,MA,77.9,clear sky,29.5833,-9.5,
605,Thai Binh,VN,86.0,broken clouds,20.45,106.3333,Sweden Hotel
617,Wanning,CN,85.64,clear sky,18.8003,110.3967,Paradise Hotel
620,Karonga,MW,75.6,clear sky,-9.9333,33.9333,Sumuka Inn
623,Rosarito,MX,80.15,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
627,Karaton,ID,89.89,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
630,Veraval,IN,81.25,broken clouds,20.9,70.3667,Lords Inn Somnath
636,Galveston,US,77.97,overcast clouds,29.3669,-94.9669,Comfort Inn & Suites Texas City
637,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
639,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,Vanira Lodge
640,Conde,BR,76.46,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
641,Shuiji,CN,88.48,clear sky,27.4214,118.345,Century Hotel
646,Wenling,CN,87.91,few clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
656,Port Keats,AU,89.47,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
659,Panaba,MX,76.75,few clouds,21.2833,-88.2667,Posada rosario
665,Port Augusta,AU,75.7,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
667,Savannah Bight,HN,82.99,broken clouds,16.45,-85.85,Villa on Dunbar Rock
675,Atar,MR,88.21,broken clouds,20.5169,-13.0499,Oumou Elghoura
676,Lagunas,PE,79.41,broken clouds,-5.2269,-75.6753,Hospedaje Eco
