City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Itarema,BR,2021-09-26 13:33:16,-2.9248,-39.9167,89.4,52,96,19.46
203,Huaihua,CN,2021-09-26 13:33:16,27.5494,109.9592,81.75,59,46,0.96
204,Killybegs,IE,2021-09-26 13:33:16,54.6333,-8.45,53.31,91,100,7.0
205,Soyo,AO,2021-09-26 13:33:17,-6.1349,12.3689,84.25,75,65,9.84
206,San Isidro,PE,2021-09-26 13:33:17,-12.1167,-77.05,60.26,85,90,1.99
207,Vao,NC,2021-09-26 13:33:18,-22.6667,167.4833,68.11,66,90,6.78
208,Saint-Pierre,RE,2021-09-26 13:33:18,-21.3393,55.4781,75.29,70,20,24.16
209,Merritt Island,US,2021-09-26 13:33:18,28.5392,-80.672,83.05,71,75,4.61
210,Avarua,CK,2021-09-26 13:33:19,-21.2078,-159.775,71.65,88,90,1.14
211,Beloha,MG,2021-09-26 13:33:19,-25.1667,45.05,84.56,31,0,11.65
212,Santiago Del Estero,AR,2021-09-26 13:31:25,-27.7951,-64.2615,76.8,20,0,11.74
213,Kutum,SD,2021-09-26 13:33:20,14.2,24.6667,84.72,35,84,8.01
214,New Norfolk,AU,2021-09-26 13:33:20,-42.7826,147.0587,43.72,67,9,2.8
215,Umm Lajj,SA,2021-09-26 13:33:20,25.0213,37.2685,86.29,62,5,19.73
216,Mantua,IT,2021-09-26 13:33:21,45.1667,10.7833,71.71,95,100,7.72
217,Kloulklubed,PW,2021-09-26 13:33:21,7.0419,134.2556,79.3,75,100,7.23
218,Siemiatycze,PL,2021-09-26 13:33:22,52.4272,22.8623,63.25,50,51,4.34
219,Kenai,US,2021-09-26 13:33:17,60.5544,-151.2583,26.65,100,1,3.44
220,Luderitz,NA,2021-09-26 13:33:22,-26.6481,15.1594,69.31,60,0,12.97
221,Sesheke,ZM,2021-09-26 13:33:23,-17.4759,24.2968,94.48,8,0,7.67
222,Meshchovsk,RU,2021-09-26 13:33:23,54.3244,35.2808,47.88,83,99,14.65
223,San Jose,US,2021-09-26 13:29:58,37.3394,-121.895,60.78,83,90,4.61
