City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Ventspils,LV,57.3894,21.5606,44.53,100,0,4.61,mist
252,Castro,BR,-24.7911,-50.0119,56.01,90,95,1.7,overcast clouds
253,Manggar,ID,-2.8833,108.2667,81.81,77,98,9.75,overcast clouds
254,Nanortalik,GL,60.1432,-45.2371,38.41,58,0,9.95,clear sky
255,Ferkessedougou,CI,9.6,-5.2,71.8,95,90,3.53,light rain
256,Vila Velha,BR,-20.3297,-40.2925,75.15,88,40,6.91,scattered clouds
257,Hasaki,JP,35.7333,140.8333,79.2,59,0,4.97,clear sky
258,Saldanha,ZA,-33.0117,17.9442,46.45,78,19,8.16,few clouds
259,San Patricio,US,28.017,-97.5169,78.84,79,85,7.4,overcast clouds
260,Ayna,PE,-12.65,-73.9167,61.45,81,78,1.23,broken clouds
261,Tupik,RU,54.4253,119.9327,40.41,42,25,0.87,scattered clouds
262,Chumikan,RU,54.7183,135.315,45.88,53,70,21.18,broken clouds
263,Iqaluit,CA,63.7506,-68.5145,28.13,86,1,2.3,clear sky
264,Nantucket,US,41.2835,-70.0995,61.97,75,1,0.0,clear sky
265,Luderitz,NA,-26.6481,15.1594,57.9,83,79,18.14,broken clouds
266,Vrangel,RU,42.7297,133.0839,62.19,40,25,4.36,scattered clouds
267,Aleksandrov Gay,RU,50.147,48.5704,45.82,62,32,6.6,scattered clouds
268,Bandarbeyla,SO,9.4942,50.8122,78.15,83,9,21.61,clear sky
269,Nhulunbuy,AU,-12.2333,136.7667,88.41,51,100,12.66,overcast clouds
270,Yumen,CN,40.2833,97.2,53.58,44,94,19.95,overcast clouds
271,Malanje,AO,-9.5402,16.341,63.93,89,84,5.46,light rain
272,Maroantsetra,MG,-15.4333,49.7333,67.19,93,71,3.78,broken clouds
273,Karratha,AU,-20.7377,116.8463,75.67,31,4,17.18,clear sky
274,Camacupa,AO,-12.0167,17.4833,62.38,74,13,2.04,few clouds
275,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.37,94,98,6.55,overcast clouds
276,Ahipara,NZ,-35.1667,173.1667,62.2,56,0,2.62,clear sky
